T,m,sus,bin_cum
4.820000,0.013186,1.097293,-0.099226
4.830000,0.013428,1.008683,-0.013617
4.840000,0.014153,1.268053,-0.084070
4.850000,0.013764,1.088848,0.051259
4.860000,0.013785,1.180678,-0.120711
4.870000,0.013818,1.065448,0.039901
4.880000,0.013488,1.081630,-0.043902
4.890000,0.014326,1.158652,0.063384
4.900000,0.013917,1.120977,0.024733
4.910000,0.013400,0.939327,0.073721
4.920000,0.013452,0.991417,-0.016591
4.930000,0.013612,1.142739,-0.072328
4.940000,0.013446,1.018363,0.014761
4.950000,0.013799,1.061552,0.019046
4.960000,0.014412,1.099345,0.057163
4.970000,0.013404,1.011612,0.023877
4.980000,0.013253,1.023328,-0.012436
4.990000,0.013936,1.104120,-0.063446
5.000000,0.013172,1.091908,-0.144181
0.000000,1.000000,0.000000,0.666667
0.010000,1.000000,0.000000,0.666667
0.020000,1.000000,0.000000,0.666667
0.030000,1.000000,0.000000,0.666667
0.040000,1.000000,0.000000,0.666667
0.050000,1.000000,0.000000,0.666667
0.060000,1.000000,0.000000,0.666667
0.070000,1.000000,0.000000,0.666667
0.080000,1.000000,0.000000,0.666667
0.090000,1.000000,0.000000,0.666667
0.100000,1.000000,0.000000,0.666667
0.110000,1.000000,0.000000,0.666667
0.120000,1.000000,0.000000,0.666667
0.130000,1.000000,0.000000,0.666667
0.140000,1.000000,0.000000,0.666667
0.150000,1.000000,0.000000,0.666667
0.160000,1.000000,0.000000,0.666667
0.170000,1.000000,0.000000,0.666667
0.180000,1.000000,0.000000,0.666667
0.190000,1.000000,0.000000,0.666667
0.200000,1.000000,0.000000,0.666667
0.210000,1.000000,0.000000,0.666667
0.220000,1.000000,0.000000,0.666667
0.230000,1.000000,0.000000,0.666667
0.240000,1.000000,0.000000,0.666667
0.250000,1.000000,0.000000,0.666667
0.260000,1.000000,0.000000,0.666667
0.270000,1.000000,0.000000,0.666667
0.280000,1.000000,0.000000,0.666667
0.290000,1.000000,0.000000,0.666667
0.300000,1.000000,0.000000,0.666667
0.310000,1.000000,0.000000,0.666667
0.320000,1.000000,0.000000,0.666667
0.330000,1.000000,0.000000,0.666667
0.340000,1.000000,0.000000,0.666667
0.350000,1.000000,0.000000,0.666667
0.360000,1.000000,0.000000,0.666667
0.370000,1.000000,0.000000,0.666667
0.380000,1.000000,0.000000,0.666667
0.390000,1.000000,0.000000,0.666667
0.400000,1.000000,0.000000,0.666667
0.410000,1.000000,0.000001,0.666667
0.420000,1.000000,0.000000,0.666667
0.430000,1.000000,0.000000,0.666667
0.440000,1.000000,0.000000,0.666667
0.450000,1.000000,0.000000,0.666667
0.460000,1.000000,0.000000,0.666667
0.470000,1.000000,0.000000,0.666667
0.480000,1.000000,0.000000,0.666667
0.490000,0.999999,0.000002,0.666667
0.500000,0.999999,0.000001,0.666667
0.510000,1.000000,0.000000,0.666667
0.520000,0.999999,0.000002,0.666667
0.530000,0.999999,0.000002,0.666667
0.540000,0.999999,0.000002,0.666667
0.550000,0.999999,0.000002,0.666667
0.560000,0.999999,0.000002,0.666667
0.570000,0.999999,0.000003,0.666667
0.580000,0.999998,0.000005,0.666667
0.590000,0.999997,0.000005,0.666667
0.600000,0.999996,0.000009,0.666667
0.610000,0.999996,0.000009,0.666667
0.620000,0.999996,0.000009,0.666667
0.630000,0.999993,0.000014,0.666667
0.640000,0.999993,0.000016,0.666667
0.650000,0.999988,0.000024,0.666667
0.660000,0.999986,0.000027,0.666667
0.670000,0.999988,0.000025,0.666667
0.680000,0.999978,0.000045,0.666667
0.690000,0.999982,0.000038,0.666667
0.700000,0.999976,0.000051,0.666667
0.710000,0.999972,0.000055,0.666667
0.720000,0.999968,0.000065,0.666667
0.730000,0.999962,0.000074,0.666667
0.740000,0.999960,0.000083,0.666667
0.750000,0.999955,0.000086,0.666667
0.760000,0.999951,0.000098,0.666667
0.770000,0.999942,0.000115,0.666667
0.780000,0.999926,0.000167,0.666667
0.790000,0.999918,0.000173,0.666667
0.800000,0.999909,0.000186,0.666667
0.810000,0.999900,0.000202,0.666667
0.820000,0.999897,0.000217,0.666667
0.830000,0.999872,0.000256,0.666667
0.840000,0.999847,0.000310,0.666667
0.850000,0.999831,0.000389,0.666667
0.860000,0.999810,0.000395,0.666667
0.870000,0.999794,0.000409,0.666667
0.880000,0.999768,0.000453,0.666667
0.890000,0.999749,0.000488,0.666667
0.900000,0.999706,0.000622,0.666667
0.910000,0.999689,0.000667,0.666667
0.920000,0.999641,0.000764,0.666667
0.930000,0.999607,0.000771,0.666667
0.940000,0.999571,0.000862,0.666667
0.950000,0.999506,0.001004,0.666667
0.960000,0.999477,0.001078,0.666667
0.970000,0.999470,0.001125,0.666667
0.980000,0.999395,0.001343,0.666666
0.990000,0.999349,0.001337,0.666666
1.000000,0.999289,0.001430,0.666666
1.010000,0.999210,0.001755,0.666666
1.020000,0.999148,0.002012,0.666666
1.030000,0.999094,0.001920,0.666666
1.040000,0.998969,0.002359,0.666666
1.050000,0.998900,0.002493,0.666666
1.060000,0.998844,0.002358,0.666666
1.070000,0.998758,0.002641,0.666666
1.080000,0.998636,0.003087,0.666666
1.090000,0.998535,0.003700,0.666666
1.100000,0.998440,0.003376,0.666666
1.110000,0.998251,0.003868,0.666666
1.120000,0.998204,0.004258,0.666666
1.130000,0.998054,0.004469,0.666666
1.140000,0.997914,0.004640,0.666666
1.150000,0.997816,0.005078,0.666666
1.160000,0.997635,0.006401,0.666666
1.170000,0.997496,0.006389,0.666666
1.180000,0.997368,0.005779,0.666666
1.190000,0.997167,0.007021,0.666666
1.200000,0.997022,0.007876,0.666666
1.210000,0.996806,0.008483,0.666666
1.220000,0.996617,0.008197,0.666666
1.230000,0.996399,0.008042,0.666666
1.240000,0.996269,0.010093,0.666665
1.250000,0.996007,0.008818,0.666665
1.260000,0.995762,0.011411,0.666665
1.270000,0.995595,0.010251,0.666665
1.280000,0.995338,0.011317,0.666665
1.290000,0.995064,0.013792,0.666665
1.300000,0.994842,0.012756,0.666665
1.310000,0.994413,0.013143,0.666665
1.320000,0.994116,0.015110,0.666665
1.330000,0.994035,0.015006,0.666665
1.340000,0.993754,0.015831,0.666665
1.350000,0.993173,0.020779,0.666664
1.360000,0.992982,0.018342,0.666664
1.370000,0.992556,0.019829,0.666664
1.380000,0.991972,0.024988,0.666663
1.390000,0.991927,0.021451,0.666664
1.400000,0.991433,0.022517,0.666664
